candidate,sentiment,sentiment_confidence,subject_matter,retweet_count,text
Rand Paul,Positive,0.6397,Women's Issues (not abortion though),78,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),4,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…"
Donald Trump,Negative,0.6633,FOX News or Moderators,0,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate
No candidate mentioned,Negative,0.6957,FOX News or Moderators,5,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate"
No candidate mentioned,Negative,1,Religion,5,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…"
No candidate mentioned,Negative,1,Racial issues,105,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h
No candidate mentioned,Negative,0.6611,FOX News or Moderators,23,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…
No candidate mentioned,Negative,0.6667,Abortion,230,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6"
Ted Cruz,Positive,0.3659,Foreign Policy,123,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…"
No candidate mentioned,Negative,0.6702,None of the above,83,RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso
No candidate mentioned,Negative,1,FOX News or Moderators,154,"RT @AmyMek: Status 👉 Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.…"
Donald Trump,Positive,0.6693,None of the above,18,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://…"
No candidate mentioned,Positive,0.7065,None of the above,23,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST"
No candidate mentioned,Negative,1,Foreign Policy,135,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate
Donald Trump,Positive,0.3508,None of the above,484,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…"
Donald Trump,Negative,1,None of the above,54,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…"
Donald Trump,Negative,1,FOX News or Moderators,0,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7"
No candidate mentioned,Negative,0.6667,Jobs and Economy,11,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…"
Jeb Bush,Negative,0.6667,Foreign Policy,4,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC"""
No candidate mentioned,Positive,0.337,None of the above,0,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.
Donald Trump,Negative,1,FOX News or Moderators,0,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate"
No candidate mentioned,Positive,0.6735,Religion,233,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…"
Donald Trump,Negative,0.6333,,5,"RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…"
No candidate mentioned,Negative,0.618,Abortion,804,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN
No candidate mentioned,Negative,1,None of the above,224,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate
No candidate mentioned,Negative,0.6239,None of the above,1,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …"
No candidate mentioned,Negative,0.6211,Healthcare (including Medicare),0,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.
No candidate mentioned,Positive,0.6667,None of the above,6,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY
Ted Cruz,Positive,0.6977,None of the above,1449,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…"
No candidate mentioned,Negative,0.6889,Abortion,0,"They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn"
No candidate mentioned,Negative,0.6629,FOX News or Moderators,61,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…
Donald Trump,Negative,1,None of the above,13,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…
No candidate mentioned,Positive,0.6591,FOX News or Moderators,0,"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate"
No candidate mentioned,Negative,0.6667,None of the above,839,RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…
No candidate mentioned,Positive,0.3474,None of the above,1,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR
No candidate mentioned,Positive,1,None of the above,44,RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…
No candidate mentioned,Negative,1,None of the above,1,"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…"
Donald Trump,Negative,0.6659,None of the above,1,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj
No candidate mentioned,Negative,1,None of the above,347,RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw
Marco Rubio,Negative,0.6734,LGBT issues,9,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…
Donald Trump,Negative,0.6264,None of the above,4,"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…"
No candidate mentioned,Positive,1,None of the above,0,Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP
Donald Trump,Negative,1,Women's Issues (not abortion though),149,"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …"
No candidate mentioned,Negative,1,None of the above,18,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…
No candidate mentioned,Negative,1,FOX News or Moderators,2,"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT"
John Kasich,Positive,1,Jobs and Economy,90,"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C"
No candidate mentioned,Positive,0.3297,,0,Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate
Donald Trump,Negative,0.6882,None of the above,0,Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate
No candidate mentioned,Negative,1,Women's Issues (not abortion though),95,RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate
Donald Trump,Negative,1,None of the above,5,"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won’t be safe, except if we’re attacked …"
No candidate mentioned,Negative,1,Foreign Policy,18,"RT @congoboy: This is going to be a long, tiring election season. 
""shockingly ill-informed"" candidates at #GOPDebate
http://t.co/vTK1k0tXi…"
Scott Walker,Negative,1,None of the above,51,RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate
No candidate mentioned,Negative,1,Racial issues,409,"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh"
No candidate mentioned,Negative,1,None of the above,94,"RT @Smethanie: Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate"
Donald Trump,Negative,0.6705,FOX News or Moderators,2,RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate
No candidate mentioned,Negative,1,FOX News or Moderators,2,"RT @palmaceiahome1: Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate"
Donald Trump,Negative,0.6708,FOX News or Moderators,482,"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased."""
Marco Rubio,Positive,0.3523,Jobs and Economy,0,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang"
No candidate mentioned,Negative,0.6932,None of the above,4,RT @JamesViser: Huh. Half of Clinton's charity went to...the Clintons! http://t.co/BVwRoSgWAL #copolitics #Hillary2016 #StopHillary #UniteB…
Donald Trump,Negative,0.6892,FOX News or Moderators,2,"RT @kraig4u: #GOPDebate  The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN"
Donald Trump,Negative,0.6549,FOX News or Moderators,112,"RT @AmyMek: We all owe @realDonaldTrump a huge thank you 4 exposing to the world👉@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!…"
Scott Walker,Negative,0.6395,None of the above,224,RT @TheBaxterBean: Scott Walker Lies: Says WI Budget Has $535M Surplus (Actually Has $1.76B Deficit) http://t.co/VVMxzkxLKr #GOPDebate http…
No candidate mentioned,Positive,0.3432,Abortion,0,You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? #GOPDebate  https://t.co/5HkCefp1hf
No candidate mentioned,Negative,1,FOX News or Moderators,52,"RT @FrankConniff: Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?"""
No candidate mentioned,Negative,0.6546,,127,RT @LeslieMac: But the murder of black ppl is just fine- just not unborn black babies? #GOPLogic #GOPDebate
Chris Christie,Positive,1,None of the above,1,RT @CharlotteLaws: Chris Christie is really standing out at the #GOPdebate
Donald Trump,Positive,0.3587,FOX News or Moderators,1,"RT @libertyjibbet: Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDe…"
No candidate mentioned,Negative,1,Abortion,0,"You can't be pro-life AND have watched that 2 hour abortion last night.
#GOPDebate #forkedtongue #IseeOrangePeople"
Donald Trump,Negative,1,FOX News or Moderators,310,"RT @DanScavino: .@MegynKelly,
You failed the American people tonight. 
You tried to make history, by destroying @realDonaldTrump. #KellyFai…"
No candidate mentioned,Negative,1,Religion,334,"RT @edstetzer: Btw... when you mix politics and religion, you get politics. #GOPDebate"
Marco Rubio,Positive,0.3373,Abortion,350,RT @TeamMarco: Marco nailed it on abortion. We must protect life. #GOPDebate http://t.co/Nn6S7dO22J
Donald Trump,Negative,1,FOX News or Moderators,0,@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate
No candidate mentioned,Negative,0.3451,None of the above,0,They obviously didn't get the memo about #SeersuckerThursday. #GOPDebate http://t.co/LZagRRtZfl
Donald Trump,Negative,0.6262,None of the above,14,"RT @VH1: Honestly, Donald Trump you were ALL types of petty at last night's #GOPDebate 😒 --&gt; http://t.co/QxdoeMfuqO http://t.co/mcr6lrJh2h"
No candidate mentioned,Negative,0.7033,None of the above,8,RT @TuxcedoCat: All Republican dopefuls who say they'll take US back to 2009 on 'Day One' will never see one day in White House! #GOPDebate…
Donald Trump,Negative,0.6429,None of the above,0,Trump gloating abt buying GOP+Dem pols &amp;them doing his bidding IS my 2000s Billionaire caricature MyaCash #GOPDebate https://t.co/5spmU3csIc
No candidate mentioned,Positive,0.3372,FOX News or Moderators,226,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@FlyoverCulture @LeahR77 @steph93065 @MaydnUSA http://t.co/…"
No candidate mentioned,Negative,0.3296,None of the above,255,RT @Daenerys: Listening to the #GOPDebate like http://t.co/3JrCuQdAFu
Rand Paul,Positive,1,None of the above,5,RT @ScorpionsPriest: Best moment of the #GOPDebate last night: Rand telling Christie to go get another hug from Obama.
No candidate mentioned,Negative,1,Foreign Policy,350,RT @JohnFugelsang: If you missed either #GOPDebate all you need to know is there's no $ for struggling Americans and unlimited $ for war.
Jeb Bush,Negative,0.3563,None of the above,4,RT @pfikac: .@JebBush 'We are on the verge of the greatest time to be alive in this world but Washington is holding us back' #mysa #txlege …
Donald Trump,Negative,0.3385,None of the above,120,"RT @DrMartyFox: #Trump Wins Drudge 
Debate Poll 

➡️ By A Landslide 

#TedCruz #2 

#GOPDebate #PJNET🇺🇸  
☑️ http://t.co/YUh6j7QqHA http://…"
No candidate mentioned,Positive,0.6923,Immigration,8,"RT @SiteROI: @GovernorPerry fights back against ""what will you do abt immigration"" Q. Says border is porous, and that must be fixed first. …"
No candidate mentioned,Negative,1,None of the above,0,Summary is the #GOPDebate: Status quo shit show
No candidate mentioned,Negative,0.6729,None of the above,42,RT @ThePatriot143: Debbie Blocks Tweeter Who Questioned Dem Debate Schedule  http://t.co/gXNa0TOqaQ #GOPDebate @DWStweets http://t.co/kxIKF…
No candidate mentioned,Negative,0.6783,Women's Issues (not abortion though),1480,"RT @sallykohn: Hey look, it’s 10 men standing on a stage arguing why they should get to control women’s bodies and choices. #GOPDebate"
No candidate mentioned,Negative,1,None of the above,33,RT @ChrisJZullo: Last night at the #GOPdebate all I saw was a bunch of Rich and Old despots with ZERO solutions to our nations problems #un…
No candidate mentioned,Negative,1,None of the above,7,RT @RFHKerry: If you think ANY of these people are qualified...unfollow me.  #GOPDebate
No candidate mentioned,Negative,0.6344,Immigration,0,Who's the real illegal alien- #GOPDebate  Farrakhan on Immigration  the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube
No candidate mentioned,Negative,0.6667,FOX News or Moderators,0,#GOPDebate The talking heads put on the debate now the talking heads are telling us how the debates went. Maybe we wasted our time watching
Donald Trump,Positive,0.6374,FOX News or Moderators,0,"#Trump is right about @megynkelly but really needs to study Matthew 7, verses 3-5. #GOPDebate  https://t.co/ygNprhiehV"
No candidate mentioned,Negative,0.6718,Women's Issues (not abortion though),325,"RT @maureenjohnson: ""Where do you think women should sleep when they have The Curse? The shed? Or in an open field, not on your property?' …"
Ben Carson,Negative,0.3409,Religion,0,"""I think God's a pretty fair guy"" -Ben Carson, neurosurgeon, on his belief modern day taxation should be based on an ancient book
#GOPDebate"
Donald Trump,Negative,1,Women's Issues (not abortion though),10,"RT @NancyLeeGrahn: The cheers from #GOPDebate  audience afterTrump defiantly named @Rosie as the woman he called ""Fat Pig"" were the voices …"
No candidate mentioned,Negative,1,Racial issues,0,"#BlackLives don't matter, apparently, to Republican candidates for president  http://t.co/8rfevFWSXx / or to @FoxNews #uniteblue #GOPDebate"
No candidate mentioned,Negative,1,Racial issues,0,"Overall the main thing we learned from the #GOPDebate is that only straight, white, men matter."
No candidate mentioned,Positive,0.6629,None of the above,0,"@USFree4life I thought @seanhannity had the best post #GOPDebate interviews of the night, gave them all a chance 2straighten their position."
Donald Trump,Negative,0.3452,None of the above,277,"RT @JohnKasich: Hey @RealDonaldTrump, if you're still looking to chip in, check out http://t.co/dy8KnZ122T

#GOPDebate"
No candidate mentioned,Negative,1,FOX News or Moderators,0,"@megynkelly @BretBaier #ChrisWallace, #America is criticizing UR PERFORMANCES during #GOPDebate b/c U did a REALLY bad job as ""moderators."""
Mike Huckabee,Negative,1,None of the above,0,"“@GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate rigged"
Donald Trump,Negative,1,None of the above,11,RT @oftenimprudent: I wish we could teach teenage girls to love themselves as much as Donald Trump loves himself. #GOPdebate
No candidate mentioned,Negative,1,None of the above,163,"RT @AmyMek: Conservatives are a people without a Network! 

#GOPDebate @FoxNews"
No candidate mentioned,Negative,1,None of the above,1447,RT @BHowl_: How come there's no talk about climate change? Has anyone here even seen California right now? #GOPDebate #DebateWithBernie
No candidate mentioned,Negative,1,None of the above,16,"RT @ChrisJZullo: Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religi…"
Ben Carson,Positive,1,None of the above,0,"#GOPDebate 2016 #teamdrbencarson @RealBenCarson  WOW! Brilliant, Cool, Calm &amp; Collected.#empowering"
No candidate mentioned,Negative,0.6629,Abortion,7,"RT @BenJamminWalker: Under no circumstances should 10 men dictate abortion rights to women. It's the 21st Century, we are better than that.…"
Donald Trump,Positive,0.7049,None of the above,1395,"RT @DanScavino: #GOPDebate Winner!
Drudge 50% (187K) @realDonaldTrump 
TIME 46% (25K) @realDonaldTrump 
FOXSD 49% @realDonaldTrump http://t…"
No candidate mentioned,Negative,0.6939,FOX News or Moderators,164,"RT @JoePrich: .@megynkelly  In 2012 you chided @CandyCrowley for ""going from objective moderator to active participant"" #GOPDebate http://t…"
Donald Trump,Negative,0.6344,None of the above,0,#GOPDebate @FoxNews @realDonaldTrump  in1996 you called @billclinton a two timing slut.  Do you stand by that statement!?
No candidate mentioned,Negative,1,FOX News or Moderators,16,"RT @renomarky: ☑ never watch #KellyFile again

1. #GOPDebate questions 
2. Pandering to @DWStweets 
3. Making it about ratings not🇺🇸 http:/…"
Marco Rubio,Positive,0.6562,None of the above,0,"IMHO #GOPDebate 
winners #MarcoRubio #Kasich #DonaldTrump 
Losers #ScottWalker #RandPaul #BenCarson 
All others were completely forgettable"
John Kasich,Positive,0.3646,None of the above,63,RT @JohnKasich: SMALLER GOVT: Ohio government payroll is smaller than it's been in 3 decades. http://t.co/IGfIF4J1TT #GOPDebate http://t.co…
Jeb Bush,Negative,0.6652,None of the above,117,"RT @JebBush: ""Challenging the teacher's unions and beating them is the way to go."" – Jeb http://t.co/5ImGwdRL4G #GOPDebate"
Donald Trump,Negative,0.6905,Women's Issues (not abortion though),0,@theblaze The REAL war on women!@realDonaldTrump @megynkelly @rushlimbaugh #GOPDebate @AnnCoulter
Donald Trump,Negative,0.6941,FOX News or Moderators,1,RT @AllThingsFlynn: This Trump vs. Fox News conflict is quite the conundrum. It’s like the personification of Greed vs. Hate. Who do I root…
No candidate mentioned,Positive,0.6742,None of the above,373,RT @CarlyFiorina: I know how extraordinary this nation is. #GOPDebate
No candidate mentioned,Negative,0.6966,None of the above,728,"RT @LAXnOREOS: Meanwhile, in the White House...  #GOPDebate http://t.co/mFs7ixFOVC"
Marco Rubio,Positive,0.6495,None of the above,0,"#rubio still my preference but i can see point of his critics over opportunism, inconsistency #gopdebate"
Donald Trump,Positive,0.3529,FOX News or Moderators,0,Did @realDonaldTrump ever tell @megynkelly to go wait in the car? Her bad attitude suggests it. #WarOnWomen #GOPDebate
No candidate mentioned,Positive,0.6818,None of the above,9,"RT @TheTexasPhoenix: He was on fire! .@GovernorPerry's ""On Fire"" Debate Performance: https://t.co/0A1w02w7SZ #GOPDebate #Perry2016"
No candidate mentioned,Negative,1,FOX News or Moderators,768,"RT @realDonaldTrump: ""@FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆 #GOPDebate"" She is totally overrated and angry. She…"
No candidate mentioned,Negative,0.6667,None of the above,1,"This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7Xxq1V @robinmarty"
No candidate mentioned,Negative,0.3721,FOX News or Moderators,0,#JonVoyage was half as long as the #GOPDebate  but twice as intelligible.
No candidate mentioned,Negative,1,None of the above,19,RT @LisaBloom: Not a single question in last night's #GOPDebate about the most urgent issue of our time: climate change.
No candidate mentioned,Negative,0.6782,FOX News or Moderators,0,"#GOPDebate What was up with #FoxNews &amp; their ""gotcha"" questions? They seemed designed to elicit typical political ""spin"" responses. #tlot"
No candidate mentioned,Positive,1,None of the above,0,After the #GOPDebate all of the promises being made by startups at this tech conference seem quite reasonable.
Donald Trump,Negative,0.6318,,10,RT @Roy___Rogers: @KnucklDraginSam @GOP @realDonaldTrump @yobynnad1127 AMEN! #Trump2016 #WakeUpAmerica #GOPDebate #tcot #stoprush http://t.…
